uur,afgereden,wachttijd_rechts,wachttijd_links,wachttijd_rechtdoor
1,3530,0.08839779005524862,0.41379310344827586,0.017038539553752535
2,7129,0.015065913370998116,0.8937282229965157,0.01643945469125902
3,10730,0.0017953321364452424,0.5846994535519126,0.01843687374749499
4,14328,0.018018018018018018,0.5418994413407822,0.029928172386272944
5,17928,0.044444444444444446,0.5409836065573771,0.02190362405416169
6,21529,0.0,0.33586337760910817,0.01639344262295082
7,25128,0.0,0.6563636363636364,0.03269537480063796
8,28730,0.02564102564102564,0.4869402985074627,0.017857142857142856
9,32329,0.029411764705882353,0.3582608695652174,0.01909307875894988
10,35928,0.0,0.23958333333333334,0.005661140315406389
11,37794,0.030303030303030304,0.7419354838709677,0.025416997617156472
12,37794,0.0,0.0,0.0
13,37794,0.0,0.0,0.0
14,37794,0.0,0.0,0.0
